activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,1,2,2,2,85000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,105000,1,1,3,5,1,NA,98,20%-<30%,2,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,55-64,65-74,No,Yes,1,1,1,,,,,3,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,1,1,2,2,2,45000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,55000,1,1,3,5,1,NA,60,20%-<30%,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,1,,,,,3,,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,0,2,1,2,1,2,2,2,25000.0,32.01,6.24,0.79,2,105.0,NA,95.0,NA,NA,60,NA,NA,2,2,2,2,65000,1,1,3,5,1,NA,77,20%-<30%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,3,0,2,1,2,1,2,2,2,105000.0,66.73,NA,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,120,>60%,4,4,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,55-64,65-74,No,Yes,1,1,6,,,,,3,1,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,2,1,2,2,2,25000.0,117.99,NA,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,2,2,15000,1,1,3,5,1,NA,30,<20%,4,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,4,,,2573,6.1,82300,90.46,793,1139,67
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,1,4,1,2,2,2,45000.0,66.93,8.44,2.539,2,105.0,NA,95.0,NA,NA,60,NA,NA,2,2,2,2,65000,1,1,3,5,1,NA,45,40,8,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,31,1,2,2,2,15000.0,79.96,8.94,2.653,2,105.0,NA,95.0,NA,NA,120,NA,NA,2,2,2,2,95000,1,1,3,5,1,NA,70,42,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Joint,Joint,1,0,2,1,4,1,2,2,2,25000.0,78.24,10.44,4.218,2,105.0,NA,95.0,NA,NA,84,NA,NA,2,2,2,2,35000,1,1,3,5,1,NA,23,30%-<36%,8,9,2,,,,,1,11,,,,2,2,3,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,2,1,2,2,2,45000.0,182.62,NA,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,2,2,25000,1,1,3,5,1,NA,45,43,8,10,12,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,1,3,4,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,1,0,2,1,2,1,2,2,2,25000.0,80.0,8.69,2.218,2,105.0,NA,95.0,NA,NA,84,NA,NA,2,2,2,2,35000,1,1,3,5,1,NA,80,30%-<36%,8,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,35-44,25-34,No,No,1,1,6,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
